Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	root_age
8766.913022815095	10001.000000000013	10001.000000000002	10001.000000000018	10001.000000000038	10000.999999999965	10000.999999999993	10000.999999999955	10001.000000000033	10001.00000000001	10001.00000000004	10000.999999999978	9703.453439593603	10001.000000000007	9923.055609284533	10001.00000000002
10001.000000000018	10000.999999999947	10000.99999999998	10000.999999999995	10001	10012.419080017127	10001.000000000022	10001.000000000015	9656.865496877186	10001.000000000044	10793.136161387709	10000.999999999987	10001.000000000045	10000.99999999998	10000.999999999978	10000.999999999945
10001.00000000001	10072.915830336111	10000.999999999962	10000.999999999998	10000.999999999976	10001.000000000007	10000.999999999984	10001.000000000011	10001.000000000042	10001.00000000002	9652.699645141895	10000.999999999985	10173.718986273825	10001.000000000015	10001.000000000011	10001.000000000022
10001.00000000003	9786.519806440594	10001.000000000015	10001.000000000058	10000.99999999999	10000.999999999962	10000.999999999964	10001.000000000045	10564.059988641357	10001.000000000022	10000.999999999969	10001	10001.000000000035	10001	10000.999999999985	10000.999999999956
9782.497697295074	10001.000000000033	10343.59534156598	10000.999999999967	9460.557029139187	10001.000000000022	10000.999999999964	10305.23213698551	10001.000000000044	10000.99999999997	10366.510083424866	10001.000000000005	10531.351656767509	10001.000000000025	10000.999999999964	10000.999999999975
10000.99999999999	10000.999999999995	9594.027104006023	10645.07712580967	10514.552259651551	10001.00000000002	10000.99999999997	10000.999999999955	9699.287392943119	10599.173155911238	10001.000000000015	9554.519246084066	10000.999999999965	10000.999999999967	9506.270708059903	10001.00000000003
10000.999999999987	10000.999999999984	10000.999999999995	10344.61707082564	9609.958307840665	10001.00000000004	10000.99999999997	10001.000000000005	10000.999999999944	10000.999999999945	11025.380282656983	10001	10001.000000000031	10000.999999999949	10000.99999999999	10001.000000000056
10351.93787211944	10001.000000000018	10001.000000000005	10291.834323548439	8561.924042208306	10001	10912.872114355698	10001.000000000015	9632.853897198424	10000.999999999984	9574.741149550107	10000.999999999973	9846.597653464794	10001.000000000033	10001.00000000001	10000.99999999998
10000.999999999976	10001	10000.999999999993	10001.000000000005	10000.99999999999	10001.00000000001	9741.435650220361	10001.000000000038	10000.999999999993	10001.000000000024	10001.000000000004	10001.000000000035	10000.99999999999	10001.000000000013	10001.000000000045	10001.00000000002
10000.99999999996	10001.000000000033	10001.000000000007	9587.662322414937	10485.206270018618	10001.00000000003	9217.68010585408	10000.999999999969	10759.425569375904	10644.674653863623	10000.99999999999	9160.49886105049	10660.503666368119	10000.999999999969	10001.000000000047	11077.277819410858
