Species	Extant	SampT	MinT	MaxT
t1	FALSE	48.718792731228696	47.8	56
t1	FALSE	47.70666917006519	41.2	47.8
t1	FALSE	45.627379905100256	41.2	47.8
t1	FALSE	42.04407515620506	41.2	47.8
t1	FALSE	40.07544805863685	37.8	41.2
t1	FALSE	39.52475454872523	37.8	41.2
t1	FALSE	38.668079474914265	37.8	41.2
t1	FALSE	37.14338485265	33.9	37.8
t1	FALSE	36.098533385056356	33.9	37.8
t2	FALSE	46.24733309544687	41.2	47.8
t2	FALSE	44.28184572677111	41.2	47.8
t2	FALSE	43.704193396767714	41.2	47.8
t2	FALSE	42.48883191960317	41.2	47.8
t2	FALSE	42.227097306727636	41.2	47.8
t2	FALSE	42.09961054238038	41.2	47.8
t2	FALSE	41.88558938457697	41.2	47.8
t2	FALSE	39.9930768030067	37.8	41.2
t2	FALSE	38.364709808541605	37.8	41.2
t2	FALSE	37.62085279481979	33.9	37.8
t2	FALSE	34.05266938124325	33.9	37.8
t2	FALSE	33.916360939140816	33.9	37.8
t2	FALSE	31.762025359235455	27.82	33.9
t3	FALSE	42.13968925722813	41.2	47.8
t3	FALSE	41.06181261172834	37.8	41.2
t3	FALSE	40.88462744033846	37.8	41.2
t3	FALSE	38.676290585124576	37.8	41.2
t3	FALSE	35.5739868274589	33.9	37.8
t3	FALSE	35.387504179694936	33.9	37.8
t3	FALSE	34.94894256381893	33.9	37.8
t3	FALSE	34.21905666957961	33.9	37.8
t3	FALSE	29.50577220272251	27.82	33.9
t4	FALSE	40.37984183141868	37.8	41.2
t4	FALSE	35.76997274360294	33.9	37.8
t5	FALSE	40.97535987126421	37.8	41.2
t5	FALSE	37.66597523465417	33.9	37.8
t5	FALSE	36.969437558681776	33.9	37.8
t5	FALSE	36.18510674183661	33.9	37.8
t5	FALSE	35.213341754437295	33.9	37.8
t6	FALSE	38.49037789914599	37.8	41.2
t6	FALSE	37.630858288563715	33.9	37.8
t6	FALSE	37.571437533847465	33.9	37.8
t6	FALSE	34.84954701214642	33.9	37.8
t6	FALSE	33.72014367318444	27.82	33.9
t6	FALSE	33.42587234124379	27.82	33.9
t6	FALSE	32.70401484301914	27.82	33.9
t6	FALSE	32.10954580106654	27.82	33.9
t6	FALSE	31.34504680349255	27.82	33.9
t6	FALSE	31.223920625736458	27.82	33.9
t6	FALSE	27.87649721964889	27.82	33.9
