Species	Extant	SampT	MinT	MaxT
t1	FALSE	48.54842648752367	47.8	56
t2	FALSE	48.44287181726157	47.8	56
t2	FALSE	47.78159237460039	41.2	47.8
t3	FALSE	46.34676138628721	41.2	47.8
t3	FALSE	45.26723372277827	41.2	47.8
t3	FALSE	43.91395318892467	41.2	47.8
t4	FALSE	43.7166872535218	41.2	47.8
t5	FALSE	42.69095967754698	41.2	47.8
t5	FALSE	41.51630074671236	41.2	47.8
t6	FALSE	39.683707315844906	37.8	41.2
t6	FALSE	39.35165474076049	37.8	41.2
t6	FALSE	38.62457112600426	37.8	41.2
t7	FALSE	42.00624161021363	41.2	47.8
t7	FALSE	41.8350215027303	41.2	47.8
t7	FALSE	40.8719057894248	37.8	41.2
t7	FALSE	39.770257060459244	37.8	41.2
t7	FALSE	37.97242037640349	37.8	41.2
t7	FALSE	36.62277768376667	33.9	37.8
t7	FALSE	36.28034714926524	33.9	37.8
t7	FALSE	35.280539984915336	33.9	37.8
t7	FALSE	34.56983386507713	33.9	37.8
t7	FALSE	33.22709228885691	27.82	33.9
t7	FALSE	32.60212804350944	27.82	33.9
t7	FALSE	31.93283584034696	27.82	33.9
t8	FALSE	35.882693024745805	33.9	37.8
t8	FALSE	33.02366130701114	27.82	33.9
t8	FALSE	31.060452012297358	27.82	33.9
t8	FALSE	30.756313641873227	27.82	33.9
t8	FALSE	30.735763157351865	27.82	33.9
t8	FALSE	30.174889560198864	27.82	33.9
t8	FALSE	30.03247201424039	27.82	33.9
t8	FALSE	29.958831618553607	27.82	33.9
t8	FALSE	25.099842988484074	23.03	27.82
t8	FALSE	22.766155151436045	20.44	23.03
t8	FALSE	21.51765019827452	20.44	23.03
t8	FALSE	21.09695678995392	20.44	23.03
t8	FALSE	20.48563245041473	20.44	23.03
t8	FALSE	19.99489148953655	15.97	20.44
t8	FALSE	19.468811426499258	15.97	20.44
t9	FALSE	38.996852606085696	37.8	41.2
t9	FALSE	35.58433477881663	33.9	37.8
t9	FALSE	33.16316616846938	27.82	33.9
t9	FALSE	30.802235153297012	27.82	33.9
t9	FALSE	28.72395089880667	27.82	33.9
t9	FALSE	27.85022096679084	27.82	33.9
t9	FALSE	27.109933805629776	23.03	27.82
t9	FALSE	26.62912864974969	23.03	27.82
t9	FALSE	26.363210233483866	23.03	27.82
t9	FALSE	25.611026083662896	23.03	27.82
t9	FALSE	25.092490899990988	23.03	27.82
t9	FALSE	24.28856099784938	23.03	27.82
t9	FALSE	24.06906790620509	23.03	27.82
t10	FALSE	31.652386871252993	27.82	33.9
t10	FALSE	29.262150224185415	27.82	33.9
t10	FALSE	28.166259306741622	27.82	33.9
t12	FALSE	22.386136560582244	20.44	23.03
t12	FALSE	21.552070068465905	20.44	23.03
t12	FALSE	19.317084815942152	15.97	20.44
t12	FALSE	19.035085123803196	15.97	20.44
t14	FALSE	34.96781595200459	33.9	37.8
t14	FALSE	33.64346732646045	27.82	33.9
t15	FALSE	33.36309694816286	27.82	33.9
t15	FALSE	32.21849006754201	27.82	33.9
t15	FALSE	31.535421164378928	27.82	33.9
t15	FALSE	30.001084268313996	27.82	33.9
t15	FALSE	29.44733312264765	27.82	33.9
t15	FALSE	29.04540865522605	27.82	33.9
t15	FALSE	27.115376703957004	23.03	27.82
t15	FALSE	26.139564366660693	23.03	27.82
t16	FALSE	25.482811168016024	23.03	27.82
t17	FALSE	31.31200614579615	27.82	33.9
t18	FALSE	21.033953489530465	20.44	23.03
t18	FALSE	20.458069048505376	20.44	23.03
t18	FALSE	18.982853257127502	15.97	20.44
t18	FALSE	17.387714603680884	15.97	20.44
t18	FALSE	16.85591627780103	15.97	20.44
t18	FALSE	16.831849100864254	15.97	20.44
t18	FALSE	16.552597427357846	15.97	20.44
t18	FALSE	15.391470080292237	13.82	15.97
t18	FALSE	14.530086484163562	13.82	15.97
t18	FALSE	14.161970582241608	13.82	15.97
t18	FALSE	13.654734064526565	11.63	13.82
t18	FALSE	13.035118812620823	11.63	13.82
t18	FALSE	12.588307915086794	11.63	13.82
t19	FALSE	36.48556874331369	33.9	37.8
t19	FALSE	32.36003251033968	27.82	33.9
t19	FALSE	32.02394700226907	27.82	33.9
t20	FALSE	28.31296328427792	27.82	33.9
t21	FALSE	25.15299955173129	23.03	27.82
t21	FALSE	24.353500043619942	23.03	27.82
t21	FALSE	24.194739747740133	23.03	27.82
t21	FALSE	23.827179791045246	23.03	27.82
t22	FALSE	24.800804322157976	23.03	27.82
t22	FALSE	23.778246592238503	23.03	27.82
t22	FALSE	23.588156575391434	23.03	27.82
t22	FALSE	23.003343860779253	20.44	23.03
t22	FALSE	22.327455083905768	20.44	23.03
t22	FALSE	20.660044882671976	20.44	23.03
t22	FALSE	20.23877598183918	15.97	20.44
t22	FALSE	17.452087383442098	15.97	20.44
t22	FALSE	17.38996497410404	15.97	20.44
t22	FALSE	17.03481332182809	15.97	20.44
t22	FALSE	16.900645429224546	15.97	20.44
t23	FALSE	24.8787227858634	23.03	27.82
t23	FALSE	23.90399272348515	23.03	27.82
t23	FALSE	22.296113942673486	20.44	23.03
t23	FALSE	20.758506649622216	20.44	23.03
t23	FALSE	20.109465469144194	15.97	20.44
t24	FALSE	19.689853404128	15.97	20.44
t24	FALSE	19.445695504862577	15.97	20.44
t25	TRUE	17.0548601826099	15.97	20.44
t25	TRUE	15.2385001512447	13.82	15.97
t25	TRUE	13.994886989632526	13.82	15.97
t25	TRUE	13.578841222837163	11.63	13.82
t25	TRUE	13.260501354966145	11.63	13.82
t25	TRUE	12.444686613208674	11.63	13.82
t25	TRUE	10.602500600432052	7.25	11.63
t25	TRUE	10.133725037042048	7.25	11.63
t25	TRUE	8.953990861290848	7.25	11.63
t25	TRUE	8.871301056428841	7.25	11.63
t25	TRUE	6.344464454730108	5.33	7.25
t25	TRUE	4.400361384101281	3.6	5.33
t25	TRUE	4.245494777019616	3.6	5.33
t25	TRUE	2.7256207546715814	0	3.6
t25	TRUE	0.6888488416894774	0	3.6
t25	TRUE	0.4933922095004988	0	3.6
t26	FALSE	34.4452533604157	33.9	37.8
t26	FALSE	32.5124231041784	27.82	33.9
t26	FALSE	31.99549007558727	27.82	33.9
t26	FALSE	31.51394305938481	27.82	33.9
t26	FALSE	31.1702846202771	27.82	33.9
t26	FALSE	30.574323232637887	27.82	33.9
t26	FALSE	29.901868090020283	27.82	33.9
t26	FALSE	28.215172748203837	27.82	33.9
t26	FALSE	28.095223445272023	27.82	33.9
t26	FALSE	26.437811900800405	23.03	27.82
t26	FALSE	25.596605045152856	23.03	27.82
t26	FALSE	23.51611826440147	23.03	27.82
t26	FALSE	23.016164630095435	20.44	23.03
t26	FALSE	22.721903251517443	20.44	23.03
t26	FALSE	21.50070546814234	20.44	23.03
t26	FALSE	20.05549789665544	15.97	20.44
t26	FALSE	18.59528854926926	15.97	20.44
t26	FALSE	18.45708254825244	15.97	20.44
t26	FALSE	18.42601019482697	15.97	20.44
t26	FALSE	17.86007026358086	15.97	20.44
t26	FALSE	17.541648507845082	15.97	20.44
t26	FALSE	17.186589852254322	15.97	20.44
t27	FALSE	32.71593261429007	27.82	33.9
t28	FALSE	27.144928017823243	23.03	27.82
t28	FALSE	27.131999848767602	23.03	27.82
t29	FALSE	22.512469386549906	20.44	23.03
t29	FALSE	22.425668246393368	20.44	23.03
t29	FALSE	18.362455441072363	15.97	20.44
t29	FALSE	18.361777025394037	15.97	20.44
t29	FALSE	16.877128105558903	15.97	20.44
t29	FALSE	16.220861111138227	15.97	20.44
t29	FALSE	15.283351026264697	13.82	15.97
t31	FALSE	20.847138868979062	20.44	23.03
t31	FALSE	20.23086704271729	15.97	20.44
t32	FALSE	14.080595181948702	13.82	15.97
t34	FALSE	21.53847239651898	20.44	23.03
t34	FALSE	20.801791365290736	20.44	23.03
t34	FALSE	19.072426332658956	15.97	20.44
t34	FALSE	16.832637613017667	15.97	20.44
t34	FALSE	16.799876392134458	15.97	20.44
t34	FALSE	14.596659267037772	13.82	15.97
t35	FALSE	21.34844541016217	20.44	23.03
t35	FALSE	19.7437124778575	15.97	20.44
t35	FALSE	18.981685162723004	15.97	20.44
t36	FALSE	18.266524082603272	15.97	20.44
t36	FALSE	17.36410489901742	15.97	20.44
t36	FALSE	15.997165438803762	15.97	20.44
t36	FALSE	15.789551239203497	13.82	15.97
t36	FALSE	15.582860821412218	13.82	15.97
t38	FALSE	13.341252644227126	11.63	13.82
t38	FALSE	13.266813006369034	11.63	13.82
t38	FALSE	11.737346658582574	11.63	13.82
t38	FALSE	11.621218304944776	7.25	11.63
t38	FALSE	11.409106349577655	7.25	11.63
t38	FALSE	10.526472750991587	7.25	11.63
t38	FALSE	9.944227313115256	7.25	11.63
t38	FALSE	9.677241646566166	7.25	11.63
t38	FALSE	9.563702620757645	7.25	11.63
t38	FALSE	9.48501341949867	7.25	11.63
t38	FALSE	8.454182903291333	7.25	11.63
t38	FALSE	7.40544914603084	7.25	11.63
t39	FALSE	9.426204563272812	7.25	11.63
t39	FALSE	9.268099402774077	7.25	11.63
t40	FALSE	9.677471563410393	7.25	11.63
t40	FALSE	8.9687474105949	7.25	11.63
t40	FALSE	8.707313130764874	7.25	11.63
t40	FALSE	8.427403451923936	7.25	11.63
t43	FALSE	30.735536811791423	27.82	33.9
t43	FALSE	29.972304524323953	27.82	33.9
t45	FALSE	25.449518803359332	23.03	27.82
t45	FALSE	25.312356046791578	23.03	27.82
t46	FALSE	24.89268195271187	23.03	27.82
t46	FALSE	24.21263906749156	23.03	27.82
t46	FALSE	22.75194988153229	20.44	23.03
t47	FALSE	22.058709857798284	20.44	23.03
t47	FALSE	14.961297923871868	13.82	15.97
t47	FALSE	14.59091420677575	13.82	15.97
t47	FALSE	14.173995340392246	13.82	15.97
t47	FALSE	12.328926990347227	11.63	13.82
t48	FALSE	16.928625884769957	15.97	20.44
t48	FALSE	16.432019088403074	15.97	20.44
t50	FALSE	13.131036959584264	11.63	13.82
t50	FALSE	12.665235837139171	11.63	13.82
t51	FALSE	20.58251799615334	20.44	23.03
t53	FALSE	14.886049052985143	13.82	15.97
t53	FALSE	12.448438831465616	11.63	13.82
t54	FALSE	9.669180272250976	7.25	11.63
t54	FALSE	9.299730321350609	7.25	11.63
t54	FALSE	8.22711712318796	7.25	11.63
t55	FALSE	10.46747371904025	7.25	11.63
t55	FALSE	10.150214613882056	7.25	11.63
t56	TRUE	10.224656707365781	7.25	11.63
t56	TRUE	9.8398089146750891	7.25	11.63
t56	TRUE	8.852210775825753	7.25	11.63
t56	TRUE	5.831731196375877	5.33	7.25
t56	TRUE	5.761550275020305	5.33	7.25
t56	TRUE	3.443496503778242	0	3.6
t56	TRUE	2.3092609810404525	0	3.6
t56	TRUE	1.3437864852508383	0	3.6
t57	TRUE	8.227127058022909	7.25	11.63
t57	TRUE	7.438985041087335	7.25	11.63
t57	TRUE	7.335173211583189	7.25	11.63
t57	TRUE	5.311340150557292	3.6	5.33
t57	TRUE	4.7981110245880885	3.6	5.33
t57	TRUE	3.466291314024815	0	3.6
t57	TRUE	1.7380072451064947	0	3.6
t57	TRUE	1.0185608821789387	0	3.6
t58	FALSE	28.681325629401524	27.82	33.9
t60	FALSE	22.37997962267111	20.44	23.03
t60	FALSE	21.90905153408608	20.44	23.03
t60	FALSE	21.739011754894563	20.44	23.03
t60	FALSE	21.526076050570964	20.44	23.03
t60	FALSE	20.310968713167238	15.97	20.44
t60	FALSE	20.261772611418557	15.97	20.44
t60	FALSE	19.700679603508647	15.97	20.44
t60	FALSE	19.317635647662158	15.97	20.44
